,stacked,name,annoline1,annoline3,objectid,annoangle,annoline2,borough,geometry,voronoi_polygon,neighbours
31,2,Central Harlem,Central,,108,0.0,Harlem,Manhattan,"POLYGON ((-73.95104090688102 40.80547142621217, -73.95029344453133 40.81652646643838, -73.93674487650678 40.82802997548876, -73.93026241190269 40.82265829911985, -73.9280152994786 40.81567415873609, -73.93233472840363 40.80364773404727, -73.95062636673124 40.80439639205159, -73.95104090688102 40.80547142621217))","POLYGON ((-73.95104090688102 40.80547142621217, -73.95029344453133 40.81652646643838, -73.93674487650678 40.82802997548876, -73.93026241190269 40.82265829911985, -73.9280152994786 40.81567415873609, -73.93233472840363 40.80364773404727, -73.95062636673124 40.80439639205159, -73.95104090688102 40.80547142621217))","[0, 29, 30, 32, 51]"
32,2,East Harlem,East,,109,0.0,Harlem,Manhattan,"POLYGON ((-73.93233472840363 40.80364773404727, -73.92823230259273 40.79541244515652, -73.92533551038005 40.78588561508342, -73.92928050630786 40.7811450661816, -73.94504492075397 40.78398080824471, -73.95465694647392 40.79309784750009, -73.95236065456368 40.80222564643948, -73.95062636673124 40.80439639205159, -73.93233472840363 40.80364773404727))","POLYGON ((-73.93233472840363 40.80364773404727, -73.92823230259273 40.79541244515652, -73.92533551038005 40.78588561508342, -73.92928050630786 40.7811450661816, -73.94504492075397 40.78398080824471, -73.95465694647392 40.79309784750009, -73.95236065456368 40.80222564643948, -73.95062636673124 40.80439639205159, -73.93233472840363 40.80364773404727))","[31, 34, 50, 51, 55, 68]"
33,3,Upper East Side,Upper,Side,110,0.0,East,Manhattan,"POLYGON ((-73.97302649037697 40.77580529472358, -73.96569798792102 40.78589716477712, -73.96375526906242 40.78623593596049, -73.95381756172046 40.77600595317312, -73.95375594777249 40.77317360184541, -73.9701810587853 40.76957700925109, -73.97253703975387 40.77004465591204, -73.97302649037697 40.77580529472358))","POLYGON ((-73.97302649037697 40.77580529472358, -73.96569798792102 40.78589716477712, -73.96375526906242 40.78623593596049, -73.95381756172046 40.77600595317312, -73.95375594777249 40.77317360184541, -73.9701810587853 40.76957700925109, -73.97253703975387 40.77004465591204, -73.97302649037697 40.77580529472358))","[34, 35, 37, 38, 50, 68, 72]"
34,2,Yorkville,York-,,111,0.0,ville,Manhattan,"POLYGON ((-73.95381756172046 40.77600595317312, -73.94504492075397 40.78398080824471, -73.92928050630786 40.7811450661816, -73.92970301637827 40.7793537388288, -73.94029924923069 40.76777614943349, -73.95145433972588 40.76971646241643, -73.95375594777249 40.77317360184541, -73.95381756172046 40.77600595317312))","POLYGON ((-73.95381756172046 40.77600595317312, -73.94504492075397 40.78398080824471, -73.92928050630786 40.7811450661816, -73.92970301637827 40.7793537388288, -73.94029924923069 40.76777614943349, -73.95145433972588 40.76971646241643, -73.95375594777249 40.77317360184541, -73.95381756172046 40.77600595317312))","[32, 33, 35, 36, 55, 64, 68]"
35,2,Lenox Hill,Lenox,,112,0.0,Hill,Manhattan,"POLYGON ((-73.9701810587853 40.76957700925109, -73.95375594777249 40.77317360184541, -73.95145433972588 40.76971646241643, -73.95651990264444 40.76138544941205, -73.9701810587853 40.76957700925109))","POLYGON ((-73.9701810587853 40.76957700925109, -73.95375594777249 40.77317360184541, -73.95145433972588 40.76971646241643, -73.95651990264444 40.76138544941205, -73.9701810587853 40.76957700925109))","[33, 34, 36, 72]"
36,1,Roosevelt Island,Roosevelt Island,,113,56.0,,Manhattan,"POLYGON ((-73.95651990264444 40.76138544941205, -73.95145433972588 40.76971646241643, -73.94029924923069 40.76777614943349, -73.94062504266751 40.75943775996563, -73.94908390786532 40.75231025984464, -73.95537129614505 40.75376616960276, -73.95651990264444 40.76138544941205))","POLYGON ((-73.95651990264444 40.76138544941205, -73.95145433972588 40.76971646241643, -73.94029924923069 40.76777614943349, -73.94062504266751 40.75943775996563, -73.94908390786532 40.75231025984464, -73.95537129614505 40.75376616960276, -73.95651990264444 40.76138544941205))","[34, 35, 59, 64, 72, 73]"
37,3,Upper West Side,Upper,Side,114,0.0,West,Manhattan,"POLYGON ((-74.24686340651417 40.94463193352469, -74.28932908582381 41.00415470274183, -73.97876006351464 40.80318827416504, -73.96569798792102 40.78589716477712, -73.97302649037697 40.77580529472358, -74.13344951344727 40.86980042160405, -74.24686340651417 40.94463193352469))","POLYGON ((-74.24686340651417 40.94463193352469, -74.28932908582381 41.00415470274183, -73.97876006351464 40.80318827416504, -73.96569798792102 40.78589716477712, -73.97302649037697 40.77580529472358, -74.13344951344727 40.86980042160405, -74.24686340651417 40.94463193352469))","[33, 38, 39, 50, 51]"
38,2,Lincoln Square,Lincoln,,115,0.0,Square,Manhattan,"POLYGON ((-74.13344951344727 40.86980042160405, -73.97302649037697 40.77580529472358, -73.97253703975387 40.77004465591204, -73.97515815928175 40.76573533765731, -73.98734551476042 40.76336166660411, -74.13344951344727 40.86980042160405))","POLYGON ((-74.13344951344727 40.86980042160405, -73.97302649037697 40.77580529472358, -73.97253703975387 40.77004465591204, -73.97515815928175 40.76573533765731, -73.98734551476042 40.76336166660411, -74.13344951344727 40.86980042160405))","[33, 37, 39, 40, 72]"
39,1,Clinton,Clinton,,116,0.0,,Manhattan,"POLYGON ((-74.2065353190869 40.88078833607471, -74.24686340651417 40.94463193352469, -74.13344951344727 40.86980042160405, -73.98734551476042 40.76336166660411, -73.9891400114802 40.75610066031368, -73.99704477140192 40.74990935071275, -74.17498525954335 40.8333936894524, -74.2065353190869 40.88078833607471))","POLYGON ((-74.2065353190869 40.88078833607471, -74.24686340651417 40.94463193352469, -74.13344951344727 40.86980042160405, -73.98734551476042 40.76336166660411, -73.9891400114802 40.75610066031368, -73.99704477140192 40.74990935071275, -74.17498525954335 40.8333936894524, -74.2065353190869 40.88078833607471))","[37, 38, 40, 42, 71]"
40,1,Midtown,Midtown,,117,0.0,,Manhattan,"POLYGON ((-73.98734551476042 40.76336166660411, -73.97515815928175 40.76573533765731, -73.97341414649121 40.76008361737514, -73.97449794222454 40.75437129472455, -73.98349745029532 40.74967045385784, -73.9891400114802 40.75610066031368, -73.98734551476042 40.76336166660411))","POLYGON ((-73.98734551476042 40.76336166660411, -73.97515815928175 40.76573533765731, -73.97341414649121 40.76008361737514, -73.97449794222454 40.75437129472455, -73.98349745029532 40.74967045385784, -73.9891400114802 40.75610066031368, -73.98734551476042 40.76336166660411))","[38, 39, 41, 71, 72, 74]"
41,2,Murray Hill,Murray,,118,0.0,Hill,Manhattan,"POLYGON ((-73.98361450758088 40.74378829474838, -73.98349745029532 40.74967045385784, -73.97449794222454 40.75437129472455, -73.97382886740205 40.75247036295006, -73.97593097102711 40.74168001349926, -73.98361450758088 40.74378829474838))","POLYGON ((-73.98361450758088 40.74378829474838, -73.98349745029532 40.74967045385784, -73.97449794222454 40.75437129472455, -73.97382886740205 40.75247036295006, -73.97593097102711 40.74168001349926, -73.98361450758088 40.74378829474838))","[40, 52, 71, 74, 75]"
42,1,Chelsea,Chelsea,,119,0.0,,Manhattan,"POLYGON ((-74.14641188073712 40.78642596753244, -74.17498525954335 40.8333936894524, -73.99704477140192 40.74990935071275, -73.99569806926415 40.74557482407683, -73.99865595593444 40.73732218427612, -74.1285323893829 40.7787663021475, -74.14641188073712 40.78642596753244))","POLYGON ((-74.14641188073712 40.78642596753244, -74.17498525954335 40.8333936894524, -73.99704477140192 40.74990935071275, -73.99569806926415 40.74557482407683, -73.99865595593444 40.73732218427612, -74.1285323893829 40.7787663021475, -74.14641188073712 40.78642596753244))","[39, 49, 53, 71, 77]"
43,2,Greenwich Village,Greenwich,,120,0.0,Village,Manhattan,"POLYGON ((-74.00590659592427 40.72543739565948, -74.00691779672955 40.72744997109264, -73.99786225016885 40.73501446081183, -73.9922613253684 40.73107235498061, -73.99433437736593 40.72459434036965, -73.99627021736913 40.72393048996642, -74.00590659592427 40.72543739565948))","POLYGON ((-74.00590659592427 40.72543739565948, -74.00691779672955 40.72744997109264, -73.99786225016885 40.73501446081183, -73.9922613253684 40.73107235498061, -73.99433437736593 40.72459434036965, -73.99627021736913 40.72393048996642, -74.00590659592427 40.72543739565948))","[46, 47, 48, 49, 69, 77]"
44,2,East Village,East,,121,0.0,Village,Manhattan,"POLYGON ((-73.97588587736581 40.72358148218808, -73.98315783662237 40.72261393402986, -73.98969912664124 40.73146469585812, -73.98754899357661 40.73305024915046, -73.97924709866953 40.73229639161196, -73.97588587736581 40.72358148218808))","POLYGON ((-73.97588587736581 40.72358148218808, -73.98315783662237 40.72261393402986, -73.98969912664124 40.73146469585812, -73.98754899357661 40.73305024915046, -73.97924709866953 40.73229639161196, -73.97588587736581 40.72358148218808))","[45, 52, 69, 76, 77]"
45,3,Lower East Side,Lower,Side,122,0.0,East,Manhattan,"POLYGON ((-73.97190007673761 40.71042227510426, -73.98507468563365 40.71062756801205, -73.98673623807062 40.7115204975773, -73.98755504489019 40.71653027961553, -73.98315783662237 40.72261393402986, -73.97588587736581 40.72358148218808, -73.96932694262016 40.72018159651986, -73.97055748034943 40.71107507691819, -73.97190007673761 40.71042227510426))","POLYGON ((-73.97190007673761 40.71042227510426, -73.98507468563365 40.71062756801205, -73.98673623807062 40.7115204975773, -73.98755504489019 40.71653027961553, -73.98315783662237 40.72261393402986, -73.97588587736581 40.72358148218808, -73.96932694262016 40.72018159651986, -73.97055748034943 40.71107507691819, -73.97190007673761 40.71042227510426))","[24, 26, 44, 69, 76, 80]"
46,1,Tribeca,Tribeca,,123,0.0,,Manhattan,"POLYGON ((-74.01165393916961 40.71535794970598, -74.05804192143611 40.74528052076372, -74.00691779672955 40.72744997109264, -74.00590659592427 40.72543739565948, -74.00557703926063 40.72044499719721, -74.01165393916961 40.71535794970598))","POLYGON ((-74.01165393916961 40.71535794970598, -74.05804192143611 40.74528052076372, -74.00691779672955 40.72744997109264, -74.00590659592427 40.72543739565948, -74.00557703926063 40.72044499719721, -74.01165393916961 40.71535794970598))","[43, 48, 49, 53, 70]"
47,2,Little Italy,Little,,124,0.0,Italy,Manhattan,"POLYGON ((-73.99980436119948 40.71419516626027, -74.0015784928846 40.71770915020731, -73.99627021736913 40.72393048996642, -73.99433437736593 40.72459434036965, -73.99240221766179 40.72023876389823, -73.99980436119948 40.71419516626027))","POLYGON ((-73.99980436119948 40.71419516626027, -74.0015784928846 40.71770915020731, -73.99627021736913 40.72393048996642, -73.99433437736593 40.72459434036965, -73.99240221766179 40.72023876389823, -73.99980436119948 40.71419516626027))","[26, 43, 48, 69, 70]"
48,1,Soho,Soho,,125,0.0,,Manhattan,"POLYGON ((-74.00557703926063 40.72044499719721, -74.00590659592427 40.72543739565948, -73.99627021736913 40.72393048996642, -74.0015784928846 40.71770915020731, -74.00557703926063 40.72044499719721))","POLYGON ((-74.00557703926063 40.72044499719721, -74.00590659592427 40.72543739565948, -73.99627021736913 40.72393048996642, -74.0015784928846 40.71770915020731, -74.00557703926063 40.72044499719721))","[43, 46, 47, 70]"
49,2,West Village,West,,126,0.0,Village,Manhattan,"POLYGON ((-74.05804192143611 40.74528052076372, -74.1285323893829 40.7787663021475, -73.99865595593444 40.73732218427612, -73.99786225016885 40.73501446081183, -74.00691779672955 40.72744997109264, -74.05804192143611 40.74528052076372))","POLYGON ((-74.05804192143611 40.74528052076372, -74.1285323893829 40.7787663021475, -73.99865595593444 40.73732218427612, -73.99786225016885 40.73501446081183, -74.00691779672955 40.72744997109264, -74.05804192143611 40.74528052076372))","[42, 43, 46, 53, 77]"
50,2,Manhattan Valley,Manhattan,,127,0.0,Valley,Manhattan,"POLYGON ((-73.96569798792102 40.78589716477712, -73.97876006351464 40.80318827416504, -73.95236065456368 40.80222564643948, -73.95465694647392 40.79309784750009, -73.96375526906242 40.78623593596049, -73.96569798792102 40.78589716477712))","POLYGON ((-73.96569798792102 40.78589716477712, -73.97876006351464 40.80318827416504, -73.95236065456368 40.80222564643948, -73.95465694647392 40.79309784750009, -73.96375526906242 40.78623593596049, -73.96569798792102 40.78589716477712))","[32, 33, 37, 51, 68]"
51,2,Morningside Heights,Morningside,,128,0.0,Heights,Manhattan,"POLYGON ((-74.16959475523299 40.96473591973229, -73.95104090688102 40.80547142621217, -73.95062636673124 40.80439639205159, -73.95236065456368 40.80222564643948, -73.97876006351464 40.80318827416504, -74.28932908582381 41.00415470274183, -74.33845900400516 41.06857122031847, -74.16959475523299 40.96473591973229))","POLYGON ((-74.16959475523299 40.96473591973229, -73.95104090688102 40.80547142621217, -73.95062636673124 40.80439639205159, -73.95236065456368 40.80222564643948, -73.97876006351464 40.80318827416504, -74.28932908582381 41.00415470274183, -74.33845900400516 41.06857122031847, -74.16959475523299 40.96473591973229))","[27, 30, 31, 32, 37, 50]"
52,1,Gramercy,Gramercy,,129,0.0,,Manhattan,"POLYGON ((-73.98502040627841 40.74287541936018, -73.98361450758088 40.74378829474838, -73.97593097102711 40.74168001349926, -73.97347204856867 40.73910733862112, -73.97924709866953 40.73229639161196, -73.98754899357661 40.73305024915046, -73.98502040627841 40.74287541936018))","POLYGON ((-73.98502040627841 40.74287541936018, -73.98361450758088 40.74378829474838, -73.97593097102711 40.74168001349926, -73.97347204856867 40.73910733862112, -73.97924709866953 40.73229639161196, -73.98754899357661 40.73305024915046, -73.98502040627841 40.74287541936018))","[41, 44, 71, 75, 76, 77]"
53,3,Battery Park City,Battery,City,130,0.0,Park,Manhattan,"POLYGON ((-74.1353377917353 40.76224257940579, -74.14641188073712 40.78642596753244, -74.1285323893829 40.7787663021475, -74.05804192143611 40.74528052076372, -74.01165393916961 40.71535794970598, -74.01099827303896 40.71308007629639, -74.02684298344752 40.69270683782246, -74.0593653901133 40.68896013085126, -74.13062791886422 40.75546838414767, -74.1353377917353 40.76224257940579))","POLYGON ((-74.1353377917353 40.76224257940579, -74.14641188073712 40.78642596753244, -74.1285323893829 40.7787663021475, -74.05804192143611 40.74528052076372, -74.01165393916961 40.71535794970598, -74.01099827303896 40.71308007629639, -74.02684298344752 40.69270683782246, -74.0593653901133 40.68896013085126, -74.13062791886422 40.75546838414767, -74.1353377917353 40.76224257940579))","[42, 46, 49, 54, 70]"
54,2,Financial District,Financial,,131,0.0,District,Manhattan,"POLYGON ((-74.02684298344752 40.69270683782246, -74.01099827303896 40.71308007629639, -74.0024850374944 40.70757690446, -74.00510314413047 40.69720447946757, -74.01365168776323 40.69181176823549, -74.02684298344752 40.69270683782246))","POLYGON ((-74.02684298344752 40.69270683782246, -74.01099827303896 40.71308007629639, -74.0024850374944 40.70757690446, -74.00510314413047 40.69720447946757, -74.01365168776323 40.69181176823549, -74.02684298344752 40.69270683782246))","[13, 53, 70]"
55,1,Astoria,Astoria,,132,0.0,,Queens,"POLYGON ((-73.92928050630786 40.7811450661816, -73.92533551038005 40.78588561508342, -73.91618316608549 40.78521417264485, -73.90475276011907 40.7646114163323, -73.90436871684688 40.76015827567593, -73.91045913025732 40.75636210578536, -73.92034681920505 40.75746051218261, -73.92970301637827 40.7793537388288, -73.92928050630786 40.7811450661816))","POLYGON ((-73.92928050630786 40.7811450661816, -73.92533551038005 40.78588561508342, -73.91618316608549 40.78521417264485, -73.90475276011907 40.7646114163323, -73.90436871684688 40.76015827567593, -73.91045913025732 40.75636210578536, -73.92034681920505 40.75746051218261, -73.92970301637827 40.7793537388288, -73.92928050630786 40.7811450661816))","[32, 34, 62, 64, 78]"
57,2,Forest Hills,Forest,,138,0.0,Hills,Queens,"POLYGON ((-73.84894650662947 40.73505176537757, -73.84112076888042 40.74069773876362, -73.83179322878004 40.73168065907829, -73.83276127026468 40.72317464555541, -73.85417587527789 40.71623345789271, -73.84894650662947 40.73505176537757))","POLYGON ((-73.84894650662947 40.73505176537757, -73.84112076888042 40.74069773876362, -73.83179322878004 40.73168065907829, -73.83276127026468 40.72317464555541, -73.85417587527789 40.71623345789271, -73.84894650662947 40.73505176537757))","[61, 66]"
58,2,Kew Gardens,Kew,,139,0.0,Gardens,Queens,"POLYGON ((-73.84023020075006 40.70418236564273, -73.83003780477371 40.71628853668832, -73.82210750399177 40.71221317539334, -73.81753583135148 40.69786160091576, -73.84023020075006 40.70418236564273))","POLYGON ((-73.84023020075006 40.70418236564273, -73.83003780477371 40.71628853668832, -73.82210750399177 40.71221317539334, -73.81753583135148 40.69786160091576, -73.84023020075006 40.70418236564273))",[66]
59,3,Long Island City,Long,City,142,0.0,Island,Queens,"POLYGON ((-73.94908390786532 40.75231025984464, -73.94062504266751 40.75943775996563, -73.92817594116532 40.75117189150822, -73.93309096760035 40.74515795358476, -73.94329761919744 40.73983692480913, -73.94908390786532 40.75231025984464))","POLYGON ((-73.94908390786532 40.75231025984464, -73.94062504266751 40.75943775996563, -73.92817594116532 40.75117189150822, -73.93309096760035 40.74515795358476, -73.94329761919744 40.73983692480913, -73.94908390786532 40.75231025984464))","[36, 64, 73]"
60,1,Ridgewood,Ridgewood,,146,0.0,,Queens,"POLYGON ((-73.88725212020054 40.69911955287482, -73.90135958717281 40.69302931640097, -73.90734478159219 40.69339902745827, -73.90949747199389 40.69423599438405, -73.92009885261835 40.71897915353611, -73.92009694147828 40.71940171627823, -73.91968776661474 40.71984030691865, -73.91661157001154 40.72230111915761, -73.89229114331705 40.71488160759139, -73.88686284943904 40.70126820785472, -73.88725212020054 40.69911955287482))","POLYGON ((-73.88725212020054 40.69911955287482, -73.90135958717281 40.69302931640097, -73.90734478159219 40.69339902745827, -73.90949747199389 40.69423599438405, -73.92009885261835 40.71897915353611, -73.92009694147828 40.71940171627823, -73.91968776661474 40.71984030691865, -73.91661157001154 40.72230111915761, -73.89229114331705 40.71488160759139, -73.88686284943904 40.70126820785472, -73.88725212020054 40.69911955287482))","[10, 21, 23]"
61,1,Rego Park,Rego Park,,148,0.0,,Queens,"POLYGON ((-73.85560384908469 40.73554923954044, -73.84894650662947 40.73505176537757, -73.85417587527789 40.71623345789271, -73.85739093463732 40.71247183146775, -73.8663586651203 40.71689034103675, -73.87094281318467 40.72540061332887, -73.85560384908469 40.73554923954044))","POLYGON ((-73.85560384908469 40.73554923954044, -73.84894650662947 40.73505176537757, -73.85417587527789 40.71623345789271, -73.85739093463732 40.71247183146775, -73.8663586651203 40.71689034103675, -73.87094281318467 40.72540061332887, -73.85560384908469 40.73554923954044))","[57, 65, 66]"
62,1,Steinway,Steinway,,176,0.0,,Queens,"POLYGON ((-73.90475276011907 40.7646114163323, -73.91618316608549 40.78521417264485, -73.89515268632402 40.79414561476342, -73.88655231718512 40.78931854511844, -73.90475276011907 40.7646114163323))","POLYGON ((-73.90475276011907 40.7646114163323, -73.91618316608549 40.78521417264485, -73.89515268632402 40.79414561476342, -73.88655231718512 40.78931854511844, -73.90475276011907 40.7646114163323))",[55]
64,1,Ravenswood,Ravenswood,,189,0.0,,Queens,"POLYGON ((-73.94062504266751 40.75943775996563, -73.94029924923069 40.76777614943349, -73.92970301637827 40.7793537388288, -73.92034681920505 40.75746051218261, -73.9277902648021 40.75125535498018, -73.92817594116532 40.75117189150822, -73.94062504266751 40.75943775996563))","POLYGON ((-73.94062504266751 40.75943775996563, -73.94029924923069 40.76777614943349, -73.92970301637827 40.7793537388288, -73.92034681920505 40.75746051218261, -73.9277902648021 40.75125535498018, -73.92817594116532 40.75117189150822, -73.94062504266751 40.75943775996563))","[34, 36, 55, 59, 78]"
65,2,Lefrak City,Lefrak,,192,0.0,City,Queens,"POLYGON ((-73.86886496316751 40.7475331879203, -73.85560384908469 40.73554923954044, -73.87094281318467 40.72540061332887, -73.87614693917311 40.73032902688178, -73.86896474505696 40.74756094835664, -73.86886496316751 40.7475331879203))","POLYGON ((-73.86886496316751 40.7475331879203, -73.85560384908469 40.73554923954044, -73.87094281318467 40.72540061332887, -73.87614693917311 40.73032902688178, -73.86896474505696 40.74756094835664, -73.86886496316751 40.7475331879203))",[61]
66,3,Forest Hills Gardens,Forest,Gardens,199,0.0,Hills,Queens,"POLYGON ((-73.85417587527789 40.71623345789271, -73.83276127026468 40.72317464555541, -73.83003780477371 40.71628853668832, -73.84023020075006 40.70418236564273, -73.84697909981247 40.70046082146882, -73.85474123975669 40.70582569379435, -73.85739093463732 40.71247183146775, -73.85417587527789 40.71623345789271))","POLYGON ((-73.85417587527789 40.71623345789271, -73.83276127026468 40.72317464555541, -73.83003780477371 40.71628853668832, -73.84023020075006 40.70418236564273, -73.84697909981247 40.70046082146882, -73.85474123975669 40.70582569379435, -73.85739093463732 40.71247183146775, -73.85417587527789 40.71623345789271))","[57, 58, 61]"
68,2,Carnegie Hill,Carnegie,,250,0.0,Hill,Manhattan,"POLYGON ((-73.95381756172046 40.77600595317312, -73.96375526906242 40.78623593596049, -73.95465694647392 40.79309784750009, -73.94504492075397 40.78398080824471, -73.95381756172046 40.77600595317312))","POLYGON ((-73.95381756172046 40.77600595317312, -73.96375526906242 40.78623593596049, -73.95465694647392 40.79309784750009, -73.94504492075397 40.78398080824471, -73.95381756172046 40.77600595317312))","[32, 33, 34, 50]"
69,1,Noho,Noho,,251,0.0,,Manhattan,"POLYGON ((-73.99240221766179 40.72023876389823, -73.99433437736593 40.72459434036965, -73.9922613253684 40.73107235498061, -73.98969912664124 40.73146469585812, -73.98315783662237 40.72261393402986, -73.98755504489019 40.71653027961553, -73.99240221766179 40.72023876389823))","POLYGON ((-73.99240221766179 40.72023876389823, -73.99433437736593 40.72459434036965, -73.9922613253684 40.73107235498061, -73.98969912664124 40.73146469585812, -73.98315783662237 40.72261393402986, -73.98755504489019 40.71653027961553, -73.99240221766179 40.72023876389823))","[26, 43, 44, 45, 47, 77]"
70,2,Civic Center,Civic,,252,0.0,Center,Manhattan,"POLYGON ((-74.01099827303896 40.71308007629639, -74.01165393916961 40.71535794970598, -74.00557703926063 40.72044499719721, -74.0015784928846 40.71770915020731, -73.99980436119948 40.71419516626027, -73.99965496000895 40.70992375621292, -74.0024850374944 40.70757690446, -74.01099827303896 40.71308007629639))","POLYGON ((-74.01099827303896 40.71308007629639, -74.01165393916961 40.71535794970598, -74.00557703926063 40.72044499719721, -74.0015784928846 40.71770915020731, -73.99980436119948 40.71419516626027, -73.99965496000895 40.70992375621292, -74.0024850374944 40.70757690446, -74.01099827303896 40.71308007629639))","[26, 46, 47, 48, 53, 54]"
71,2,Midtown South,Midtown,,253,0.0,South,Manhattan,"POLYGON ((-73.99704477140192 40.74990935071275, -73.9891400114802 40.75610066031368, -73.98349745029532 40.74967045385784, -73.98361450758088 40.74378829474838, -73.98502040627841 40.74287541936018, -73.99569806926415 40.74557482407683, -73.99704477140192 40.74990935071275))","POLYGON ((-73.99704477140192 40.74990935071275, -73.9891400114802 40.75610066031368, -73.98349745029532 40.74967045385784, -73.98361450758088 40.74378829474838, -73.98502040627841 40.74287541936018, -73.99569806926415 40.74557482407683, -73.99704477140192 40.74990935071275))","[39, 40, 41, 42, 52, 77]"
